Timestamp,Product,Buy Depth,Sell Depth,Trades
0,PEARLS,{9995:30;9998:1},{10005:-30},[]
0,BANANAS,{4945:30;4946:1},{4952:-30},[]
100,PEARLS,{9995:30;9996:1},{10002:-6;10004:-1;10005:-30},[{timestamp:100; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
100,BANANAS,{4945:31},{4950:-7;4952:-31},[]
200,PEARLS,{9995:21;9996:1},{10004:-1;10005:-21},[{timestamp:100; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
200,BANANAS,{4945:22},{4951:-1;4952:-21},[]
300,PEARLS,{9995:23;9996:2},{9998:-3;10004:-2;10005:-23},[{timestamp:100; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
300,BANANAS,{4945:25},{4952:-25},[]
400,PEARLS,{9995:23;9996:2;9998:5},{10004:-2;10005:-23},[{timestamp:300; symbol:PEARLS; price:9998.0; quantity:2; buyer:; seller:};{timestamp:300; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
400,BANANAS,{4945:25;4946:5},{4952:-25},[]
500,PEARLS,{9995:22;9996:2;10002:1},{10004:-2;10005:-22},[{timestamp:300; symbol:PEARLS; price:9998.0; quantity:2; buyer:; seller:};{timestamp:300; symbol:PEARLS; price:9998.0; quantity:1; buyer:; seller:}]
500,BANANAS,{4945:24},{4952:-24},[{timestamp:400; symbol:BANANAS; price:4952.0; quantity:9; buyer:; seller:}]
600,PEARLS,{9995:24;9996:2},{10002:-9;10004:-2;10005:-24},[{timestamp:500; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:};{timestamp:500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
600,BANANAS,{4945:24;4946:2},{4950:-9;4952:-26},[{timestamp:500; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
700,PEARLS,{9995:27;9998:7},{10005:-27},[{timestamp:500; symbol:PEARLS; price:10004.0; quantity:1; buyer:; seller:};{timestamp:500; symbol:PEARLS; price:10002.0; quantity:1; buyer:; seller:}]
700,BANANAS,{4945:27;4946:7},{4952:-27},[{timestamp:500; symbol:BANANAS; price:4952.0; quantity:1; buyer:; seller:}]
